"","t","electricity_no_hvac","cooling_electricity","heating_electricity","dw","total_electricity","DHeating","temperature","windSpeed","windBearing","sunAltitude","GHI","nhours","cluster","cluster_train","cluster_pred","dep","m1","m2","m","mt","ml","temp_dep_h","temp_dep_c","GHI_dep","windSpeed_dep","status","temp_dep_c_m1","temp_dep_h_m1","GHI_dep_m1","windSpeed_dep_m1","windBearing_m1","temp_dep_c_m2","temp_dep_h_m2","GHI_dep_m2","windSpeed_dep_m2","windBearing_m2"
"42",2016-02-11,262.190776163319,0,133.06769822898,"4",395.258474392299,368.838907306521,4.46748051515762,5.13291666666667,243.75,34.481619841678,44.5025791666667,24,"3","3","3",1,0,0,0,0,0,7.43331781289239,0,44.5025791666667,5.13291666666667,0,0,0,0,0,0,0,0,0,0,0
"43",2016-02-12,257.677797988722,0,122.067013003225,"5",379.744810991947,335.319583188637,2.63455897836857,2.53916666666667,190.666666666667,34.8113140680929,62.475,24,"3","3","3",1,0,0,0,0,0,9.26623934968144,0,62.475,2.53916666666667,0,0,0,0,0,0,0,0,0,0,0
"44",2016-02-13,2.49454229463538,0,0.177754917167581,"6",2.67229721180296,0.479938276352468,1.60378683058026,2.41833333333333,70.7916666666667,35.1448607953172,85.9853583333333,24,"7","7","7",1,0,0,0,0,0,10.2970114974697,0,85.9853583333333,2.41833333333333,0,0,0,0,0,0,0,0,0,0,0
"45",2016-02-14,5.27245638899692,0,28.3095074393045,"7",33.5819638283014,76.4356700861221,3.0364152765558,3.11375,67.0416666666667,35.4821439423397,26.2501416666667,24,"7","7","7",1,0,0,0,0,0,8.86438305149421,0,26.2501416666667,3.11375,0,0,0,0,0,0,0,0,0,0,0
"46",2016-02-15,261.800418204805,0,285.706930279088,"1",547.507348483894,771.408711753538,3.77771841172211,2.92625,286.541666666667,35.8230470088283,22.8045,24,"1","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2016-02-16,259.030407702318,0,234.601042463103,"2",493.631450165421,633.422814650379,0.892744873812193,2.56375,248.958333333333,36.1674531322936,31.1036041666667,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2016-02-17,261.981136930818,0,177.403199694183,"3",439.384336625001,478.988639174294,0.138979266144608,3.32166666666667,74.7083333333333,36.5152451438054,69.878075,24,"3","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2016-02-18,260.235061874687,0,169.46120510234,"4",429.696266977027,466.079123617719,2.692146919279,2.26416666666667,167.5,36.8663056222398,51.3476125,24,"3","3","3",1,0,0,0,0,0,9.20865140877101,0,51.3476125,2.26416666666667,0,0,0,0,0,0,0,0,0,0,0
"50",2016-02-19,260.380903393971,0,137.854075532001,"5",398.234978925972,381.865385313832,3.41848991328286,1.99875,216.833333333333,37.2205169470475,64.1898208333333,24,"3","3","3",1,0,0,0,0,0,8.48230841476715,0,64.1898208333333,1.99875,0,0,0,0,0,0,0,0,0,0,0
"51",2016-02-20,4.87265479672225,0,7.56555667216744,"6",12.4382114688897,21.9778397528125,3.26305255951187,4.73791666666667,202.083333333333,37.5777613495321,38.7124125,24,"7","7","7",1,0,0,0,0,0,8.63774576853814,0,38.7124125,4.73791666666667,0,0,0,0,0,0,0,0,0,0,0
"52",2016-02-21,6.09174388265721,0,21.1588885187438,"7",27.250632401401,63.4766655562313,8.069419326931,5.2375,232,37.9379209626322,40.0704,24,"7","7","7",1,0,0,0,0,0,3.83137900111901,0,40.0704,5.2375,0,0,0,0,0,0,0,0,0,0,0
"53",2016-02-22,260.758417569519,0,195.816081375405,"1",456.574498944924,569.513370227066,7.40661299038608,6.05791666666667,248.083333333333,38.3008778692034,32.4418916666667,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2016-02-23,262.516627514638,0,150.888299913268,"2",413.404927427906,423.030701566269,4.83405093198828,4.08041666666667,245.625,38.6665141488053,51.8379125,24,"3","3","3",1,0,0,0,0,0,7.06674739606173,0,51.8379125,4.08041666666667,0,0,0,0,0,0,0,0,0,0,0
"55",2016-02-24,262.313965658158,0,131.633578426504,"3",393.947544084663,361.585938000455,3.29688804798415,4.30208333333333,253.541666666667,39.0347119229909,81.8482875,24,"3","3","3",1,0,0,0,0,0,8.60391028006586,0,81.8482875,4.30208333333333,0,0,0,0,0,0,0,0,0,0,0
"56",2016-02-25,260.020186820146,0,137.400409351514,"4",397.42059617166,370.981105249088,1.00695458740821,2.57416666666667,221.541666666667,39.4053533991079,85.2262541666667,24,"3","3","3",1,0,0,0,0,0,10.8938437406418,0,85.2262541666667,2.57416666666667,0,0,0,0,0,0,0,0,0,0,0
"57",2016-02-26,261.655197721576,0,174.857772243891,"5",436.512969965467,472.115985058505,1.91895909165251,2.79291666666667,227.791666666667,39.7783209126217,50.0789083333333,24,"3","3","3",1,0,0,0,0,0,9.9818392363975,0,50.0789083333333,2.79291666666667,0,0,0,0,0,0,0,0,0,0,0
"58",2016-02-27,3.19682072372642,0,2.93574098797315,"6",6.13256171169957,7.92650066752752,1.18213797552985,2.12375,55.6666666666667,40.1534969679666,103.29645,24,"7","7","7",1,0,0,0,0,0,10.7186603525202,0,103.29645,2.12375,0,0,0,0,0,0,0,0,0,0,0
"59",2016-02-28,3.5977290437777,0,10.2315674033091,"7",13.8292964470868,27.6263512653302,3.26555148148121,2.65333333333333,24.375,40.5307642779455,94.6692041666667,24,"7","7","7",1,0,0,0,0,0,8.6352468465688,0,94.6692041666667,2.65333333333333,0,0,0,0,0,0,0,0,0,0,0
"60",2016-02-29,261.737975120718,0,224.332969227082,"1",486.0709443478,605.699016913121,1.58365765105117,4.14041666666667,28.1666666666667,40.910005801685,60.5527,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",2016-03-01,263.533918897387,0,153.172590883444,"2",416.70650978083,415.542999148157,1.7856196667099,2.8725,158.166666666667,41.2911047811686,92.26725,24,"3","3","3",1,0,0,0,0,0,10.1151786613401,0,92.26725,2.8725,0,0,0,0,0,0,0,0,0,0,0
"62",2016-03-02,260.622366635778,0,140.969003602983,"3",401.591370238762,397.849433491123,4.41683915824794,3.48833333333333,201.625,41.6739447763635,47.8978416666667,24,"3","3","3",1,0,0,0,0,0,7.48395916980207,0,47.8978416666667,3.48833333333333,0,0,0,0,0,0,0,0,0,0,0
