"","t","total_electricity","outdoor_temp","s","daypart","weekday","outdoor_temp_h","outdoor_temp_lp_h","outdoor_temp_c","outdoor_temp_lp_c","daypart_fs_sin_1","daypart_fs_cos_1","daypart_fs_sin_2","daypart_fs_cos_2","daypart_fs_sin_3","daypart_fs_cos_3"
"10249",2017-05-05 06:00:00,7035.19690572575,13.5,"04","1","5",4.23333333333333,1.08218414348104,0,0,1,6.12323399573677e-17,1.22464679914735e-16,-1,-1,-1.83697019872103e-16
"10250",2017-05-05 07:00:00,12807.1111165851,14.5,"04","1","5",3.23333333333333,1.12738406498912,0,0,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439,-0.707106781186548,0.707106781186547
"10251",2017-05-05 08:00:00,15076.6906154027,16.2,"04","2","5",0,0,0.866666666666665,1.26408613375304,0.866025403784439,-0.5,-0.866025403784438,-0.5,-2.44929359829471e-16,1
"10252",2017-05-05 09:00:00,16271.7027604147,18.5,"04","2","5",0,0,3.16666666666667,1.3040631335614,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16,0.707106781186547,0.707106781186548
"10253",2017-05-05 10:00:00,16067.4461559723,20,"04","2","5",0,0,4.66666666666667,1.3747181194992,0.5,-0.866025403784439,-0.866025403784439,0.5,1,3.06161699786838e-16
"10254",2017-05-05 11:00:00,16102.4139985807,20.3666666666667,"04","2","5",0,0,5.03333333333337,1.4515928993953,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438,0.707106781186548,-0.707106781186547
"10255",2017-05-05 12:00:00,16734.0553460139,21.5,"04","3","5",0,0,4.9,0.283999307339542,1.22464679914735e-16,-1,-2.44929359829471e-16,1,3.67394039744206e-16,-1
"10256",2017-05-05 13:00:00,16753.4819252407,22,"04","3","5",0,0,5.4,0.391496653797127,-0.25881904510252,-0.965925826289068,0.499999999999999,0.866025403784439,-0.707106781186548,-0.707106781186547
"10257",2017-05-05 14:00:00,12304.2402371699,22.8333333333333,"04","3","5",0,0,6.2333333333333,0.514245257484699,-0.5,-0.866025403784439,0.866025403784439,0.5,-1,-4.28626379701574e-16
"10258",2017-05-05 15:00:00,17739.2420597235,23,"04","3","5",0,0,6.4,0.637916666995693,-0.707106781186547,-0.707106781186548,1,3.06161699786838e-16,-0.707106781186548,0.707106781186547
"10259",2017-05-05 16:00:00,17238.5913607914,23,"04","4","5",0,0,7.46666666666667,1.82565616096945,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999,-4.89858719658941e-16,1
"10260",2017-05-05 17:00:00,17195.2978413715,22.9333333333333,"04","4","5",0,0,7.39999999999997,1.9427842082345,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439,0.707106781186548,0.707106781186547
"10261",2017-05-05 18:00:00,17322.958219148,22,"04","4","5",0,0,6.46666666666667,2.03783997330998,-1,-1.83697019872103e-16,3.67394039744206e-16,-1,1,5.51091059616309e-16
"10262",2017-05-05 19:00:00,16141.8222021551,20.5,"04","4","5",0,0,4.96666666666667,2.09938044538647,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439,0.707106781186549,-0.707106781186546
"10263",2017-05-05 20:00:00,14355.6870035259,19.2,"04","5","5",0,0,0,0,-0.866025403784439,0.5,-0.866025403784439,-0.5,6.12323399573677e-16,-1
"10264",2017-05-05 21:00:00,10077.9542577722,18,"04","5","5",0,0,0,0,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16,-0.707106781186548,-0.707106781186547
"10265",2017-05-05 22:00:00,6979.69239364902,17,"04","5","5",0,0,0,0,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999,-1,-2.44991257893129e-15
"10266",2017-05-05 23:00:00,10173.9770636649,17.1,"04","5","5",0,0,0,0,-0.258819045102521,0.965925826289068,-0.5,0.866025403784439,-0.707106781186549,0.707106781186546
"10267",2017-05-06 00:00:00,9557.32193449244,15.5,"04","0","6",0,0,0,0,0,1,0,1,0,1
"10268",2017-05-06 01:00:00,9446.31291033898,15,"04","0","6",0,0,0,0,0.258819045102521,0.965925826289068,0.5,0.866025403784439,0.707106781186547,0.707106781186548
"10269",2017-05-06 02:00:00,9411.34506773064,14.85,"04","0","6",0,0,0,0,0.5,0.866025403784439,0.866025403784439,0.5,1,6.12323399573677e-17
"10270",2017-05-06 03:00:00,9522.90913700487,14,"04","0","6",0,0,0,0,0.707106781186547,0.707106781186548,1,6.12323399573677e-17,0.707106781186548,-0.707106781186547
"10271",2017-05-06 04:00:00,9297.00577285257,14,"04","1","6",3.73333333333333,0.38811520799122,0,0,0.866025403784439,0.5,0.866025403784439,-0.5,1.22464679914735e-16,-1
"10272",2017-05-06 05:00:00,9262.03793024423,14.0666666666667,"04","1","6",3.66666666666663,0.457004092728447,0,0,0.965925826289068,0.258819045102521,0.5,-0.866025403784439,-0.707106781186547,-0.707106781186548
"10273",2017-05-06 06:00:00,6948.05482176528,15,"04","1","6",2.73333333333333,0.50483429599247,0,0,1,6.12323399573677e-17,1.22464679914735e-16,-1,-1,-1.83697019872103e-16
"10274",2017-05-06 07:00:00,13810.6326949324,16.5,"04","1","6",1.23333333333333,0.520141509207551,0,0,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439,-0.707106781186548,0.707106781186547
"10275",2017-05-06 08:00:00,15228.7729784929,18.6333333333333,"04","2","6",0,0,3.29999999999997,1.90969848750181,0.866025403784439,-0.5,-0.866025403784438,-0.5,-2.44929359829471e-16,1
